DC Bus;Pack;Pack;pack-charge;Battery;Status
Ahr;V;Ahr;%;degC;Condition
1893.330;362.660;1893.330;18.930;28.000;Ok
2056.670;360.460;2056.670;20.570;28.000;Ok
1573.330;356.270;1573.330;15.730;28.000;Ok
1643.330;357.580;1643.330;16.430;28.000;Ok
1416.670;356.290;1416.670;14.170;28.000;Ok
1480.000;356.270;1480.000;14.800;28.000;Ok
1623.330;360.080;1623.330;16.230;28.210;Ok
1666.670;360.630;1666.670;16.670;28.210;Ok
2370.000;356.270;2370.000;23.700;28.210;Ok
1926.670;364.660;1926.670;19.270;28.210;Ok
1953.330;360.460;1953.330;19.530;28.210;Ok
2383.330;361.220;2383.330;23.830;28.210;Ok
1936.670;364.660;1936.670;19.370;28.210;Ok
1930.000;364.660;1930.000;19.300;28.210;Ok
2283.330;360.080;2283.330;22.830;28.210;Ok
1960.000;356.730;1960.000;19.600;28.210;Ok
1826.670;364.660;1826.670;18.270;28.210;Ok
3246.670;364.530;3246.670;32.470;28.210;Ok
1883.330;355.340;1883.330;18.830;28.100;Ok
2226.670;364.660;2226.670;22.270;28.100;Ok
1636.670;364.660;1636.670;16.370;28.100;Ok
1603.330;360.460;1603.330;16.030;28.100;Ok
1586.670;360.460;1586.670;15.870;28.100;Ok
1580.000;356.270;1580.000;15.800;28.100;Ok
1580.000;359.140;1580.000;15.800;28.100;Ok
1580.000;360.460;1580.000;15.800;28.100;Ok
1576.670;360.460;1576.670;15.770;28.100;Ok
1580.000;363.880;1580.000;15.800;28.100;Ok
1566.670;364.470;1566.670;15.670;28.100;Ok
1570.000;360.460;1570.000;15.700;28.100;Ok
1580.000;360.460;1580.000;15.800;28.100;Ok
1580.000;360.460;1580.000;15.800;28.310;Ok
1596.670;357.580;1596.670;15.970;28.310;Ok
1623.330;356.290;1623.330;16.230;28.310;Ok
1643.330;360.460;1643.330;16.430;28.310;Ok
1673.330;360.460;1673.330;16.730;28.310;Ok
1686.670;360.630;1686.670;16.870;28.310;Ok
1703.330;364.660;1703.330;17.030;28.310;Ok
1716.670;360.570;1716.670;17.170;28.310;Ok
1713.330;360.460;1713.330;17.130;28.310;Ok
1703.330;360.460;1703.330;17.030;28.310;Ok
1693.330;356.270;1693.330;16.930;28.310;Ok
1686.670;357.770;1686.670;16.870;28.310;Ok
1683.330;360.460;1683.330;16.830;28.310;Ok
1673.330;360.460;1673.330;16.730;28.310;Ok
1663.330;362.660;1663.330;16.630;28.310;Ok
1646.670;364.660;1646.670;16.470;28.310;Ok
1633.330;360.460;1633.330;16.330;28.310;Ok
1640.000;360.460;1640.000;16.400;28.310;Ok
1626.670;360.460;1626.670;16.270;28.310;Ok
